,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8
1,560877598.6190988,691528392.53677,550246002.9941542,676608336.468644,583260113.8133057,664991099.1635185,546349071.2367488,564804913.1807628
2,78385259.2608235,78093604.57361236,78723021.5470872,78286089.72687177,64987198.57892854,94193742.38266727,78567885.05736151,78537550.30948588
3,641900981.0089304,1204677753.7843506,689886592.3063383,1289786767.3253822,1122681484.5959966,688782920.6803746,685776848.1141148,645680776.871322
4,2447221683.1713815,2475970713.442484,2626314430.521052,2657476339.98972,2896145980.2454524,2089379091.810685,2603776220.687816,2467967790.1384354
5,1480418240.9469829,1953406572.9582865,1571082430.6323094,2067655276.1807003,1685774278.3582976,1715448360.86207,1563942783.3366532,1487039098.5083625
6,80603383.46658677,164751802.11467993,82110961.47281247,167339669.1562737,167425980.49559084,79315961.85581535,81656481.85766797,81041926.09895423
7,5526015369.601775,5732068373.485648,5613991079.08469,5825848402.740234,6101039060.250127,5191820215.9802475,5581264305.390227,5557684699.420149
8,1852673683.7113295,2101702595.725233,1970376621.0879507,2234346723.491096,2135816591.4566624,1823082143.692916,1961590649.435488,1860802121.5481007
9,169196750.05976483,159686378.93596715,161606272.60686862,152549294.1312813,162161766.87747246,166613973.5958386,160755531.91199127,170075782.89406806
10,4953081471.864614,4015428868.3856363,5252640252.342178,4267654296.0071845,5224943969.584253,3806499446.7629848,5216402690.6326475,4986991065.604468
11,60583083607.19935,81026604691.34856,57522572398.13107,76729685113.24591,59912692276.51034,81939891944.3884,57244983233.053024,60871314196.179436
12,380398704.47374773,248162564.97750202,419881413.20953435,275188046.5339239,432182370.3721361,218427970.89348894,415653303.94453377,384217106.01634055
13,33014076295.29632,14240381500.700983,34244887944.56577,14836637707.266193,22815371720.958992,20605977719.24157,33975795887.938274,33271872860.343067
14,1601489485.1713636,4764527106.028961,1709195073.2912307,5073317737.885241,4321720139.154664,1765579402.7450073,1701053731.3702912,1609084477.0285678
15,238682613.46074384,224139728.73387635,233568080.99017453,219435997.25839153,227478400.34575695,235179499.03494963,231770389.99752626,240522683.77021125
16,1068814202.3275771,413125992.55554086,1089189188.6675577,433939136.7937348,850138925.6631359,519391495.74828213,1083624442.1382425,1074229043.4733555
17,5238882306.9632,5090322071.325875,5824022668.755444,5676895596.605955,5446264125.892636,4896493746.865904,5757776891.797664,5298468700.739493
18,26658868680.520313,25411876865.462147,23073749223.370655,22242139636.14015,32040950244.25992,21143314512.131565,22927381040.64092,26832725699.31019
19,5117225027.732912,4231404986.4372,4917368996.343514,4070308942.149425,5319685371.458771,4070363186.3725348,4901371260.800771,5133630245.011137
20,2633244188.456699,3088702692.0646973,2556524271.607501,3000860812.685536,3340716706.5073476,2434599856.344201,2560975989.628048,2628757183.4591393
21,39360590936.47876,47363226944.847015,40009425380.2413,48110951524.87192,41586400028.60229,44828227495.66066,39964270444.34879,39404255747.74767
22,222261418.5775608,260614559.57302022,220606653.12758434,258807166.38981026,310008367.13185656,186848381.70200682,222094663.29186746,220803637.4410218
23,1286201390.4180522,1711295525.7888503,1350493504.462349,1797215894.1148622,1562867752.064415,1408353766.195754,1351742629.224285,1285037921.7554185
24,61785299804.659454,76944796382.86269,59563317170.31255,74202288359.26842,88466146845.63022,53738717943.93037,59365801465.68892,61987927275.10323
25,84419044010.98285,27828423787.70338,91262112745.16245,30166042325.60937,57109927286.2046,41135561611.157845,91468060220.62152,84231173846.58737
26,490811792.02233404,284040529.12930685,504903356.14126146,292766239.23529667,487836568.8887861,285772838.6916172,503363719.74559647,492286018.6373622
27,11474117694.530998,12298939001.899902,10837508927.851625,11614005263.557625,10563587274.874786,13359048394.602282,10804197867.674109,11508966418.157257
28,25670276335.028725,24702826056.684696,26542221961.992943,25543012385.686363,24702826056.684696,25670276335.028725,26486551773.71389,25723389678.19962
29,318884610.17182297,302060939.90911925,311145687.110341,294564891.81925917,302060939.90911925,318884610.17182297,311781384.5867971,318246395.49674386
30,1140132585.8825476,1681766115.1232214,1111952207.016709,1646815159.294231,1681766115.1232214,1140132585.8825476,1129891641.286505,1122182097.8523543
31,817804276.2123814,735018859.8444979,868101608.2202654,780068265.179752,708422393.1417834,848507292.396212,869503937.9925301,816499000.0397546
32,239899010.1816215,301895146.60057247,251914216.25817952,317147451.3252579,272770973.00484174,265513394.0766758,250240970.25976223,241491486.65812027
33,23037718331.58271,7138903733.402172,23008595739.836903,7114908028.18189,15310356212.736845,10742013518.24748,22877261935.04431,23169043324.276783
34,4516796168.751133,3127682571.6235323,4669959274.44278,3231604413.055984,3896592980.760593,3625501746.354358,4654888512.700802,4531317661.894092
35,1007387025.5915103,1111203607.0220675,1045659812.265626,1153583353.7415385,1171869455.8463788,955236174.9167924,1039814428.8942976,1013008787.8398288
36,718635415.5587736,835077212.9262961,734224108.9116473,853348128.6564269,1036526357.8226229,578968451.1212854,733314150.3710891,719520713.5849677
37,42025566466.37657,36630152697.229256,43870548509.40478,38223806327.322334,38885374192.48873,39588224334.18621,43956070385.065994,41945102579.213425
38,532279485.7096559,553353579.3450319,578204217.5364863,601196523.1807994,467412959.92017156,630146752.198936,578032386.3232602,532440967.89686334
39,83178416554.472,64012377775.300476,87125951562.74998,67034241272.79221,75219999620.53455,70786489925.28027,86081569483.71394,84187937883.85452
40,1016348099.6671872,936666508.0300757,1106507786.5458133,1019809355.7737648,1002042175.4024839,950039079.019749,1106252485.6632574,1016571307.6519338
41,5471180320.367173,4677614756.380566,5545051901.197682,4743087269.546194,6131687091.203063,4173740998.3107457,5556149479.637823,5460333419.279443
