"","Day","r1","r2","r3"
"1",0,1.19270746598697,0.869020168464938,0.507123180411851
"2",1,1.19481498733544,0.807756679442018,0.466058905411563
"3",2,1.07867796752209,0.784079349823941,0.56700847922736
"4",3,1.17225133218861,0.89995233097423,0.57757631037032
"5",4,1.06037106643844,0.838556914948052,0.583202128756793
"6",5,1.04022417965779,0.82587609094815,0.573275394084653
"7",6,1.02935084896198,0.820787937523389,0.540916990262161
"8",7,1.02905381450759,0.821533039953267,0.540957865951904
"9",8,0.971247704182309,0.780315433011395,0.523695337914055
"10",9,0.952511771765512,0.769923686579572,0.527803585949513
